raw_regime,market_return,cross_sectional_dispersion,breadth,realized_volatility_20d,trend_60d,liquidity_stress,sector_dispersion,sector_return_max_minus_min,market_move_to_dispersion,stress_score,regime,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date
2,-0.014477892293823569,0.019453692947178053,0.1502174985508093,0.012243830373409231,-0.02921634584981733,-0.33761461436402324,0.014626019369112217,0.04427383659936354,0.4951270029313418,6.7393817201050705,3,sequential_centroid_match,0.6470384744235017,8,2018-03-29,2019-11-14
3,0.00038696908815933414,0.009691206256967027,0.5158490636038023,0.007028309960560025,0.05597516332737654,-0.005048335568291679,0.006882509699026963,0.020662445738792876,0.6191116653603392,-2.1506227433684706,0,sequential_centroid_match,0.2676714946525019,8,2018-03-29,2019-11-14
0,-0.014423857439422393,0.022331256196507367,0.15670502921738289,0.013113595868008365,-0.039573267163591164,-0.4104538453162141,0.016880675239374796,0.051256672340901595,0.4149937977434432,8.633345410761061,3,sequential_centroid_match,0.36586995185539106,9,2018-03-29,2019-12-13
1,0.0008738153841916392,0.008933109507613992,0.5270997159404244,0.0070790507156706615,0.05501939664207926,0.023248699953384327,0.006284459608264514,0.018774940549748657,0.6586344999238647,-2.3786554737179704,0,sequential_centroid_match,0.10475188052628409,9,2018-03-29,2019-12-13
2,0.001979976956551348,0.011929587538116522,0.5643495502788167,0.015770145436782693,-0.05298519458191267,0.05350179837561182,0.0084015697368524,0.024976012576881913,1.1156414657840181,2.8256322061599173,2,sequential_centroid_match,0.2056627122356575,9,2018-03-29,2019-12-13
3,0.002892409205850163,0.015397703775597179,0.5948331720031104,0.007893710775759122,0.04701341293270811,-0.14537513066759428,0.01137932887324554,0.034589508686493166,0.39835471077405177,0.6085111078531786,1,sequential_centroid_match,0.395638254470157,9,2018-03-29,2019-12-13
0,0.0038657330945123733,0.014947588252921591,0.6210449584708168,0.007789959659299782,0.050389816682928065,-0.1381933093767288,0.011019884198176205,0.03349414719546723,0.411871552936648,0.36118945325215723,1,sequential_centroid_match,0.07601177357552093,10,2018-03-29,2020-01-14
1,0.004801772386925127,0.011443466700691853,0.6391566277385388,0.015726217939816822,-0.04917091431304844,0.100860946545058,0.008003622935249328,0.023769649364504382,1.1409504488258002,2.4129023860266763,2,sequential_centroid_match,0.15918967344040094,10,2018-03-29,2020-01-14
2,-0.013655643660712697,0.019555133637303088,0.16582960678009795,0.01298162802243719,-0.0381323373627095,-0.3167581386359644,0.01468585584075059,0.04446323536233113,0.5361661818421328,7.46800934753676,3,sequential_centroid_match,0.3660529515689217,10,2018-03-29,2020-01-14
3,0.00048445787689585155,0.008675487540508595,0.5163585887420261,0.006877991472663927,0.06023583892505929,0.01373262360821563,0.006073542921483871,0.018132050144208357,0.664207487263731,-2.39366105264451,0,sequential_centroid_match,0.05054177675067873,10,2018-03-29,2020-01-14
