raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
2,2,1.5521306873234417,sequential_centroid_match,0.016569913779311475,22,2018-03-29,2020-12-24,2020-12-28,2021-01-26
3,3,13.647436870893506,sequential_centroid_match,0.0047910937243960325,22,2018-03-29,2020-12-24,2020-12-28,2021-01-26
0,0,-1.98252808847056,sequential_centroid_match,0.0031107877702601793,23,2018-03-29,2021-01-26,2021-01-27,2021-02-24
1,1,1.280437404929294,sequential_centroid_match,0.0071567912720832,23,2018-03-29,2021-01-26,2021-01-27,2021-02-24
2,2,1.4565216804004812,sequential_centroid_match,0.05164533035369185,23,2018-03-29,2021-01-26,2021-01-27,2021-02-24
3,3,13.681349899245976,sequential_centroid_match,0.010007584078070224,23,2018-03-29,2021-01-26,2021-01-27,2021-02-24
0,0,-1.9735168813100938,sequential_centroid_match,0.005861020637820764,24,2018-03-29,2021-02-24,2021-02-25,2021-03-24
1,1,1.275473519700753,sequential_centroid_match,0.013193504887064311,24,2018-03-29,2021-02-24,2021-02-25,2021-03-24
2,2,1.4873419215336703,sequential_centroid_match,0.006784287593825024,24,2018-03-29,2021-02-24,2021-02-25,2021-03-24
3,3,13.869238679144189,sequential_centroid_match,0.0063308749413724785,24,2018-03-29,2021-02-24,2021-02-25,2021-03-24
0,2,1.2992767037144886,sequential_centroid_match,0.04411898385637749,25,2018-03-29,2021-03-24,2021-03-25,2021-04-22
1,3,14.000302357528057,sequential_centroid_match,0.0025011297510982126,25,2018-03-29,2021-03-24,2021-03-25,2021-04-22
2,0,-2.0148118926923884,sequential_centroid_match,0.008565938752010576,25,2018-03-29,2021-03-24,2021-03-25,2021-04-22
3,1,1.2928097336726019,sequential_centroid_match,0.00390313688264039,25,2018-03-29,2021-03-24,2021-03-25,2021-04-22
0,1,1.3077860913468038,sequential_centroid_match,0.0068795234224394985,26,2018-03-29,2021-04-22,2021-04-23,2021-05-20
